"","Split","Model","Tissue","Significant proteins","Ranking"
"341","70%-30%","RakelD","esophagus","ULBP2",1
"343","70%-30%","SVM","Low tissue specificity","CD99, CXADR, HSPG2, SMOC2, SPINT2, TNFRSF14",6
"345","70%-30%","SVM","brain","DRAXIN, TGFA",2
"348","70%-30%","SVM","pancreas","REG1A, REG1B",2
"342","70%-30%","SVM","kidney, liver","RBP5",1
"344","70%-30%","SVM","salivary gland","PRSS8",1
"346","70%-30%","SVM","epididymis","ADGRG2",1
"347","70%-30%","SVM","bone marrow, lymphoid tissue","TNF",1
"349","70%-30%","SVM","intestine, urinary bladder","CCL13",1
"350","70%-30%","SVM","adrenal gland, brain, pancreas","DPP10",1
"351","70%-30%","SVM","cervix","COLEC12",1
"352","70%-30%","SVM","cervix, gallbladder","COL1A1",1
"353","70%-30%","SVM","bone marrow","CD83",1
"354","70%-30%","SVM","intestine, lymphoid tissue","CCL24",1
"414","75%-25%","ClassifierChains","placenta","TFPI2",1
"358","75%-25%","Deep","Low tissue specificity","ADAM15, AIFM1, ANXA11, ARSB, AXL, BSG, CCL8, CCN2, CD164, CD40, CD46, CD55, CTSB, GALNT2, HSPG2, INPP1, KITLG, LGMN, LTBP3, MESD, NPDC1, NRP1, PAMR1, PCDH1, PPP1R12A, PRCP, PRDX1, PTK7, PTPRM, SCARB2, TGFB1, THBD, TNFSF12, TRIAP1, VEGFA",35
"355","75%-25%","Deep","lymphoid tissue","C1QA, CD27, CD40LG, CD79B, CR2, CXCL13, FCRL5, IL12RB1, KLRD1, SIT1, TNFRSF1B, TNFRSF4",12
"356","75%-25%","Deep","bone marrow, lymphoid tissue","GP1BA, GZMB, HCLS1, TNFRSF10C, VSIR",5
"382","75%-25%","Deep","brain","IGSF8, NTproBNP, SEMA4D, SIRPA, SORCS2",5
"391","75%-25%","Deep","bone marrow","CEACAM8, CLC, CLEC11A, CST7, PLAUR",5
"359","75%-25%","Deep","liver","AGXT, CA5A, CCL16, COL18A1",4
"363","75%-25%","Deep","placenta","CTSL, HPGDS, JAM2, TFPI2",4
"392","75%-25%","Deep","pancreas","CLPS, REG1A, SPINK1",3
"368","75%-25%","Deep","kidney, thyroid gland","ESM1, TNFRSF11B",2
"373","75%-25%","Deep","intestine, liver","CCL15, FABP1",2
"375","75%-25%","Deep","brain, retina","GPR37, ROBO2",2
"378","75%-25%","Deep","retina","CRX, PFKFB2",2
"386","75%-25%","Deep","skin 1","CST6, GPNMB",2
"387","75%-25%","Deep","lung","ADAMTS8, TNFRSF6B",2
"401","75%-25%","Deep","bone marrow, lung, lymphoid tissue","CCL3, CD300C",2
"357","75%-25%","Deep","brain, liver","SMOC1",1
"360","75%-25%","Deep","skeletal muscle","PDGFA",1
"361","75%-25%","Deep","adrenal gland, brain, pancreas","DPP10",1
"362","75%-25%","Deep","cervix, gallbladder","COL1A1",1
"364","75%-25%","Deep","ovary, pancreas","FLRT2",1
"365","75%-25%","Deep","thyroid gland","IGFBPL1",1
"366","75%-25%","Deep","kidney, pancreas, skeletal muscle","EGF",1
"367","75%-25%","Deep","esophagus, lymphoid tissue, vagina","DSG3",1
"369","75%-25%","Deep","adrenal gland, liver, pancreas","RARRES2",1
"370","75%-25%","Deep","liver, pancreas","SLC39A14",1
"371","75%-25%","Deep","cervix, salivary gland","WFDC2",1
"372","75%-25%","Deep","cervix, retina","NT5E",1
"374","75%-25%","Deep","endometrium 1, smooth muscle","FAP",1
"376","75%-25%","Deep","intestine, lymphoid tissue, stomach 1, urinary bladder","CCL11",1
"377","75%-25%","Deep","tongue","MYOC",1
"379","75%-25%","Deep","brain, pancreas","PTPRN2",1
"380","75%-25%","Deep","endometrium 1, seminal vesicle, smooth muscle","ACTA2",1
"381","75%-25%","Deep","stomach 1","TFF1",1
"383","75%-25%","Deep","parathyroid gland, testis","TDRKH",1
"384","75%-25%","Deep","brain, pituitary gland","PODXL2",1
"385","75%-25%","Deep","adrenal gland","LDLR",1
"388","75%-25%","Deep","breast, pituitary gland, salivary gland, stomach 1","MIA",1
"389","75%-25%","Deep","adipose tissue, heart muscle","LPL",1
"390","75%-25%","Deep","adipose tissue","ADAMTS15",1
"393","75%-25%","Deep","gallbladder","SPON1",1
"394","75%-25%","Deep","brain, choroid plexus","FGF23",1
"395","75%-25%","Deep","cervix, lymphoid tissue","CXCL1",1
"396","75%-25%","Deep","intestine, salivary gland","PIGR",1
"397","75%-25%","Deep","heart muscle","NPPB",1
"398","75%-25%","Deep","adrenal gland, brain, pituitary gland","SCG2",1
"399","75%-25%","Deep","brain, parathyroid gland","ADAM23",1
"400","75%-25%","Deep","breast, fallopian tube, pancreas","VTCN1",1
"402","75%-25%","Deep","intestine","CA13",1
"403","75%-25%","Deep","testis","PHOSPHO1",1
"404","75%-25%","Deep","lymphoid tissue, smooth muscle","TNC",1
"405","75%-25%","Deep","intestine, lymphoid tissue","TNFRSF13C",1
"406","75%-25%","Deep","brain, pancreas, pituitary gland","CFC1",1
"407","75%-25%","Deep","lung, lymphoid tissue, skin 1","MPIG6B",1
"408","75%-25%","Deep","brain, gallbladder","FGF5",1
"409","75%-25%","Deep","lymphoid tissue, placenta","VCAN",1
"410","75%-25%","Deep","esophagus, vagina","FABP5",1
"411","75%-25%","Deep","esophagus, lung, salivary gland, stomach 1","CXCL17",1
"412","75%-25%","Deep","kidney","PTH1R",1
"413","75%-25%","Deep","intestine, pancreas","REG3A",1
"426","75%-25%","HARAM","urinary bladder","TIMP1",1
"427","75%-25%","HARAM","Low tissue specificity","ARTN",1
"428","75%-25%","HARAM","esophagus, lung, salivary gland, stomach 1","CXCL17",1
"429","75%-25%","HARAM","ovary","MDK",1
"430","75%-25%","HARAM","esophagus, salivary gland, skin 1, vagina","NECTIN4",1
"431","75%-25%","HARAM","brain","NEFL",1
"432","75%-25%","HARAM","pituitary gland","PRL",1
"433","75%-25%","HARAM","intestine, pancreas","REG3A",1
"434","75%-25%","HARAM","cervix, endometrium 1","RSPO1",1
"435","75%-25%","HARAM","endometrium 1","RSPO3",1
"436","75%-25%","HARAM","liver, placenta","TFPI",1
"437","75%-25%","HARAM","placenta","TFPI2",1
"417","75%-25%","RakelD","Low tissue specificity","AIFM1, CLPP, MANF, MESD, PAMR1, RHOC, SERPINB6, TGFBR3",8
"416","75%-25%","RakelD","lymphoid tissue","FLI1, KAZALD1, KIR2DL3, LAT",4
"420","75%-25%","RakelD","liver","AFP, MGMT",2
"415","75%-25%","RakelD","gallbladder, urinary bladder","LIF",1
"418","75%-25%","RakelD","breast, liver, lymphoid tissue","TNFSF11",1
"419","75%-25%","RakelD","kidney, liver","MSRA",1
"421","75%-25%","RakelD","lymphoid tissue, placenta","CD28",1
"422","75%-25%","RakelD","retina","FRZB",1
"423","75%-25%","RakelD","lung, urinary bladder","ICAM1",1
"424","75%-25%","RakelD","parathyroid gland","ROR1",1
"425","75%-25%","RakelD","bone marrow, lymphoid tissue","MNDA",1
"440","75%-25%","SVM","Low tissue specificity","ADAM15, BSG, DBI, EDA2R, EGFL7, LAMA4, NADK, NOTCH3, NRP2, PDGFB, PIK3IP1, THBD, TXNDC5, VASN, VEGFC",15
"450","75%-25%","SVM","liver","AMBP, CCL16, CD302",3
"443","75%-25%","SVM","placenta","ANGPTL1, CD93",2
"444","75%-25%","SVM","skin 1","EFNA4, GPNMB",2
"445","75%-25%","SVM","brain","IGSF8, NCS1",2
"456","75%-25%","SVM","pancreas","REG1A, REG1B",2
"438","75%-25%","SVM","brain, choroid plexus, lung","TREM2",1
"439","75%-25%","SVM","kidney","CALB1",1
"441","75%-25%","SVM","smooth muscle","COL6A3",1
"442","75%-25%","SVM","Not detected","IFNL1",1
"446","75%-25%","SVM","bone marrow","CEACAM8",1
"447","75%-25%","SVM","adipose tissue","CPM",1
"448","75%-25%","SVM","cervix, salivary gland","WFDC2",1
"449","75%-25%","SVM","choroid plexus, ovary","CDH3",1
"451","75%-25%","SVM","brain, smooth muscle, urinary bladder","THY1",1
"452","75%-25%","SVM","bone marrow, lymphoid tissue","KLRB1",1
"453","75%-25%","SVM","liver, lung, lymphoid tissue","MARCO",1
"454","75%-25%","SVM","intestine, lymphoid tissue","CCL24",1
"455","75%-25%","SVM","adipose tissue, lymphoid tissue, urinary bladder","IL2RA",1
"457","75%-25%","SVM","testis","PHOSPHO1",1
"458","75%-25%","SVM","lymphoid tissue","FCRL5",1
"459","75%-25%","SVM","gallbladder, salivary gland, urinary bladder","MMP7",1
"460","75%-25%","SVM","esophagus, parathyroid gland","EPHA1",1
"461","75%-25%","SVM","cervix, endometrium 1, smooth muscle","ITGA11",1
"462","75%-25%","SVM","esophagus, salivary gland, skin 1, vagina","NECTIN4",1
"463","75%-25%","SVM","cervix, endometrium 1","RSPO1",1
"464","75%-25%","SVM","endometrium 1","RSPO3",1
"465","75%-25%","SVM","liver, placenta","TFPI",1
